FileName,Rekognition_words
2020-05-03_17-00-22_UTC.jpg.json,"['Tire', 'Wheel', 'Machine', 'Car', 'Transportation', 'Vehicle', 'Automobile', 'Spoke', 'Alloy Wheel', 'Car Wheel']"
2020-05-09_17-13-27_UTC.jpg.json,"['Race Car', 'Sports Car', 'Car', 'Vehicle', 'Transportation', 'Tire', 'Alloy Wheel', 'Spoke', 'Wheel', 'Tarmac']"
2020-05-15_16-31-47_UTC.jpg.json,"['Car', 'Automobile', 'Transportation', 'Vehicle', 'Sports Car', 'Race Car', 'Tarmac', 'Asphalt']"
2020-05-16_16-48-43_UTC_1.jpg.json,"['Car', 'Automobile', 'Transportation', 'Vehicle', 'Race Car', 'Sports Car', 'Tarmac', 'Asphalt']"
2020-05-16_16-48-43_UTC_2.jpg.json,"['Car', 'Automobile', 'Vehicle', 'Transportation', 'Tarmac', 'Asphalt', 'Sports Car']"
2020-05-16_16-48-43_UTC_3.jpg.json,"['Car', 'Transportation', 'Vehicle', 'Sports Car', 'Race Car', 'Tire', 'Spoke', 'Tarmac', 'Alloy Wheel', 'Wheel']"
2020-05-16_16-48-43_UTC_4.jpg.json,"['Nature', 'Outdoors', 'Road', 'Water', 'Sea', 'Tarmac', 'Ice', 'Gravel', 'Tree', 'Fir']"
2020-05-22_16-26-01_UTC.jpg.json,"['Person', 'Human', 'Sunglasses', 'Accessories', 'Accessory', 'Crowd']"
2020-05-29_16-46-53_UTC.jpg.json,"['Helmet', 'Clothing', 'Apparel', 'Crash Helmet', 'Tire', 'Alloy Wheel', 'Spoke', 'Machine', 'Wheel']"
2020-05-31_16-27-07_UTC_1.jpg.json,"['Car', 'Transportation', 'Vehicle', 'Tire', 'Spoke', 'Machine', 'Alloy Wheel', 'Wheel', 'Car Wheel', 'Sports Car']"
